# DExtra_Hosts.txt 
# NO9S 06/29/2020 Additional information at end of file
XRF883	xrf883.mydns.jp
XRF888	37.187.0.15
XRF893	893.pgw.jp
XRF897	92.222.23.124
XRF899 xlx899.mywire.org
XRF900	xlx900.dyndns.org
XRF902	104.233.76.150
XRF903 ea1ivq.ddns.net
XRF904	xrf904.xreflector-jp.org
XRF905 199.212.121.20
XRF909	xlx909.ealink.es 
XRF911	xlx.patrweb.com
XRF922 xrf922.mb6er.com
XRF925	xlx925.hopto.org
XRF929	104.167.99.218
XRF933	xlx933.dstar-france.fr
XRF935 xlx935.ddns.net
XRF930	xreflector.ddns.net
XRF940	xrf940.xreflector-jp.org
XRF943	xrf943.xreflector-jp.org
XRF944	xrf944.xreflector-jp.org
XRF945	xlx945.xreflector.es
XRF950	158.64.26.134
XRF954 xlx954.wcran.club
XRF959	xrf959.xreflector-jp.org
XRF970	xlx970.onogoro.net
XRF972	xlx972.ddns.net
XRF973	xrf973.xreflector-jp.org
XRF980	xlx980.ddns.net
XRF986	xlx986.thueringen.link
XRF989 xlx989.duckdns.org
XRF997	xrf997.iw2gob.it
XRF998	44.140.236.20
XRF999	88.147.102.200
XRFSAT xlx3.k5wh.net
XRFSIN xlx.w9winxlx.us
XRFWDX	xrfwdx.ham-radio-op.net
